成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
601021,2022-08-31,000300,沪深300,CSI 300,春秋航空,"Spring Airlines Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.094,-17.3,3.46,43082912138.0,-2490341742.080925,12451708710.404625
66,2022-08-31,000300,沪深300,CSI 300,中国长城,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.092,-50.18,2.21,29870899546.0,-595275000.9166999,13516244138.461538
600018,2022-08-31,000300,沪深300,CSI 300,上港集团,Shanghai International Port (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.092,5.71,1.17,123405967175.0,21612253445.709282,105475185619.65813
2916,2022-08-31,000300,沪深300,CSI 300,深南电路,"Shennan Circuits Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.091,28.86,3.82,43415320866.0,1504342372.3492725,11365267242.408377
300919,2022-08-31,000300,沪深300,CSI 300,中伟股份,"CNGR Advanced Material Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.089,42.75,5.4,56479540504.0,1321158842.1988304,10459174167.407406
600362,2022-08-31,000300,沪深300,CSI 300,江西铜业,Jiangxi Copper Co Ltd,上海证券交易所,Shanghai  Exchange,0.089,8.08,0.82,55992334479.0,6929744366.212872,68283334730.48781
600061,2022-08-31,000300,沪深300,CSI 300,国投资本,"SDIC Capital Co., Ltd",上海证券交易所,Shanghai  Exchange,0.088,11.2,0.89,41764477424.0,3728971198.571429,46926379128.08989
688036,2022-08-31,000300,沪深300,CSI 300,传音控股,"SHENZHEN TRANSSION HOLDINGS CO., LTD.",上海证券交易所,Shanghai  Exchange,0.086,16.34,3.68,54025463520.0,3306331916.768666,14680832478.260868
603899,2022-08-31,000300,沪深300,CSI 300,晨光股份,SHANGHAI M&G STATIONERY INC.,上海证券交易所,Shanghai  Exchange,0.086,38.57,6.55,40785054200.0,1057429458.1280788,6226725832.061069
300957,2022-08-31,000300,沪深300,CSI 300,贝泰妮,"Yunnan Botanee Bio-Technology Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.083,97.26,15.69,76841040000.0,790057988.8957434,4897453154.875717
601319,2022-08-31,000300,沪深300,CSI 300,中国人保,The People's Insurance Company (Group) of China Limited,上海证券交易所,Shanghai  Exchange,0.083,6.19,1.0,221119952915.0,35722124865.105,221119952915.0
300223,2022-08-31,000300,沪深300,CSI 300,北京君正,Ingenic Semiconductor Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.082,38.13,3.6,38973452897.0,1022120453.6323104,10825959138.055555
2600,2022-08-31,000300,沪深300,CSI 300,领益智造,LINGYI iTECH (GUANGDONG) COMPANY,深圳证券交易所,Shenzhen  Exchange,0.081,41.02,2.43,39486966610.0,962627172.3549488,16249780497.942387
688169,2022-08-31,000300,沪深300,CSI 300,石头科技,"Beijing Roborock Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.078,23.77,3.28,29308195422.0,1232990972.7387464,8935425433.536587
