成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
600104,2022-08-31,000016,上证50,SSE 50,上汽集团,SAIC Motor Co Ltd,上海证券交易所,Shanghai  Exchange,1.049,12.9,0.64,178289620430.0,13820900808.527132,278577531921.875
601601,2022-08-31,000016,上证50,SSE 50,中国太保,China Pacific Insurance (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,1.041,7.5,0.88,199622085191.0,26616278025.466667,226843278626.13635
601211,2022-08-31,000016,上证50,SSE 50,国泰君安,"Guotai Junan Securities Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.968,10.22,0.96,130215545722.0,12741247135.225048,135641193460.41667
603501,2022-08-31,000016,上证50,SSE 50,韦尔股份,"Will Semiconductor CO.,Ltd. Shanghai",上海证券交易所,Shanghai  Exchange,0.966,23.45,5.55,106419617388.0,4538149995.223881,19174705835.675674
600111,2022-08-31,000016,上证50,SSE 50,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.953,17.52,6.47,109573270560.0,6254182109.589042,16935590503.863989
600893,2022-08-31,000016,上证50,SSE 50,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.,上海证券交易所,Shanghai  Exchange,0.889,92.52,3.19,120538171442.0,1302833673.173368,37786260640.12539
600028,2022-08-31,000016,上证50,SSE 50,中国石化,China Petroleum & Chemical Corporation,上海证券交易所,Shanghai  Exchange,0.829,5.92,0.66,515763353092.0,87122188022.2973,781459625896.9696
600905,2022-08-31,000016,上证50,SSE 50,三峡能源,"China Three Gorges Renewables (Group) Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.76,17.1,2.31,172295470200.0,10075758491.22807,74586783636.36363
601857,2022-08-31,000016,上证50,SSE 50,中国石油,PetroChina Co Ltd,上海证券交易所,Shanghai  Exchange,0.753,6.02,0.74,991973699774.0,164779684347.84055,1340504999694.5947
600196,2022-08-31,000016,上证50,SSE 50,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.744,34.69,2.52,107346836034.0,3094460537.1576824,42597950807.14286
600570,2022-08-31,000016,上证50,SSE 50,恒生电子,Hundsun Technologies Inc.,上海证券交易所,Shanghai  Exchange,0.742,-340.84,11.44,65303221412.0,-191594946.050933,5708323550.0
601628,2022-08-31,000016,上证50,SSE 50,中国人寿,China Life Insurance Company Limited,上海证券交易所,Shanghai  Exchange,0.742,16.51,1.8,839461738500.0,50845653452.45306,466367632500.0
600745,2022-08-31,000016,上证50,SSE 50,闻泰科技,"Wingtech Technology Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.701,33.35,2.39,78831158887.0,2363752890.1649175,32983748488.284515
600010,2022-08-31,000016,上证50,SSE 50,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,上海证券交易所,Shanghai  Exchange,0.665,108.75,1.66,91170065296.0,838345428.0091954,54921726081.92771
601633,2022-08-31,000016,上证50,SSE 50,长城汽车,Great Wall Motor Co Ltd,上海证券交易所,Shanghai  Exchange,0.598,25.88,4.18,289869571851.0,11200524414.644514,69346787524.16269
600346,2022-08-31,000016,上证50,SSE 50,恒力石化,"Hengli Petrochemical Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.588,8.4,2.28,134798760902.0,16047471535.952381,59122263553.50877
601066,2022-08-31,000016,上证50,SSE 50,中信建投,"China Securities Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.502,23.84,3.16,208577523091.0,8749057176.635906,66005545281.96202
600588,2022-08-31,000016,上证50,SSE 50,用友网络,"Yonyou Network Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.501,-135.26,6.29,69192496983.0,-511551803.80748194,11000396976.62957
601995,2022-08-31,000016,上证50,SSE 50,中金公司,China International Capital Corporation Limited,上海证券交易所,Shanghai  Exchange,0.354,26.11,2.56,200572522865.0,7681827761.968595,78348641744.14062
601728,2022-08-31,000016,上证50,SSE 50,中国电信,China Telecom Corporation Limited,上海证券交易所,Shanghai  Exchange,0.296,9.48,0.8,346812055669.0,36583550176.05485,433515069586.25
