成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
603858,2022-08-31,000922,中证红利,CSI Dividend,步长制药,"SHANDONG BUCHANG PHARMACEUTICALS CO., LTD.",上海证券交易所,Shanghai  Exchange,0.811,12.33,1.36,20185278271.0,1637086639.9837794,14842116375.735292
600900,2022-08-31,000922,中证红利,CSI Dividend,长江电力,China Yangtze Power Co Ltd,上海证券交易所,Shanghai  Exchange,0.811,23.99,3.1,541711086859.0,22580703912.421844,174745511890.0
789,2022-08-31,000922,中证红利,CSI Dividend,万年青,Jiangxi Wannianqing Cement Co. Ltd,深圳证券交易所,Shenzhen  Exchange,0.81,8.09,1.13,7958076950.0,983693071.6934487,7042545973.451328
600606,2022-08-31,000922,中证红利,CSI Dividend,绿地控股,Greenland Holdings Corporation Limited,上海证券交易所,Shanghai  Exchange,0.792,5.2,0.46,43708618957.0,8405503645.576922,95018736863.04347
600548,2022-08-31,000922,中证红利,CSI Dividend,深高速,Shenzhen Expressway Co Ltd,上海证券交易所,Shanghai  Exchange,0.791,10.69,1.06,18144009112.0,1697288036.669785,17116989728.301886
402,2022-08-31,000922,中证红利,CSI Dividend,金 融 街,Financial Street Holding Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.784,7.01,0.42,16110332199.0,2298192895.7203994,38357933807.14286
600377,2022-08-31,000922,中证红利,CSI Dividend,宁沪高速,Jiangsu Expressway Co Ltd,上海证券交易所,Shanghai  Exchange,0.773,10.95,1.26,38286881000.0,3496518812.7853885,30386413492.06349
656,2022-08-31,000922,中证红利,CSI Dividend,金科股份,"Jinke Property Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.772,-4.65,0.4,13349289540.0,-2870814954.8387094,33373223850.0
601668,2022-08-31,000922,中证红利,CSI Dividend,中国建筑,China State Construction Engineering Co Ltd,上海证券交易所,Shanghai  Exchange,0.766,3.76,0.62,214284951833.0,56990678678.989365,345620890053.2258
601126,2022-08-31,000922,中证红利,CSI Dividend,四方股份,Beijing Sifang Automation Co Ltd,上海证券交易所,Shanghai  Exchange,0.757,20.25,3.25,12303292360.0,607569993.0864197,3785628418.4615383
600642,2022-08-31,000922,中证红利,CSI Dividend,申能股份,Shenergy Co Ltd,上海证券交易所,Shanghai  Exchange,0.724,18.06,0.96,29373989130.0,1626466729.2358806,30597905343.75
2233,2022-08-31,000922,中证红利,CSI Dividend,塔牌集团,Guangdong Tapai Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.719,26.96,0.84,9418972626.0,349368420.84569734,11213062650.0
