成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
930,2022-08-31,000905,中证500,CSI 500,中粮科技,"COFCO BIOTECHNOLOGY CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.157,10.62,1.42,16694198684.0,1571958444.8210924,11756477946.478874
600511,2022-08-31,000905,中证500,CSI 500,国药股份,China National Medicines Corp Ltd,上海证券交易所,Shanghai  Exchange,0.156,11.48,1.51,19805703698.0,1725235513.763066,13116360064.900661
603156,2022-08-31,000905,中证500,CSI 500,养元饮品,"Hebei Yangyuan ZhiHui Beverage Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.155,17.5,2.29,24272167248.0,1386980985.6,10599199671.61572
2670,2022-08-31,000905,中证500,CSI 500,国盛金控,Guosheng Financial Holding Inc.,深圳证券交易所,Shenzhen  Exchange,0.155,-116.4,1.4,15828992462.0,-135987907.7491409,11306423187.142859
600060,2022-08-31,000905,中证500,CSI 500,海信视像,"Hisense Visual Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.155,13.62,0.98,16175657986.0,1187640087.0778267,16505773455.102041
987,2022-08-31,000905,中证500,CSI 500,越秀金控,"Guangzhou Yuexiu Financial Holdings Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.155,12.11,1.25,32109647757.0,2651498576.1354256,25687718205.6
883,2022-08-31,000905,中证500,CSI 500,湖北能源,Hubei Energy Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.154,10.94,1.02,31600501762.0,2888528497.440585,30980884080.392155
601179,2022-08-31,000905,中证500,CSI 500,中国西电,China XD Electric Co Ltd,上海证券交易所,Shanghai  Exchange,0.154,32.77,1.18,24501717643.0,747687447.1467805,20764167494.0678
600201,2022-08-31,000905,中证500,CSI 500,生物股份,"Jinyu Bio-Technology Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.154,46.68,1.93,9797959497.0,209896304.562982,5076662951.813472
401,2022-08-31,000905,中证500,CSI 500,冀东水泥,Tangshan Jidong Cement Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.154,10.55,0.79,24083413585.0,2282788017.535545,30485333651.89873
600056,2022-08-31,000905,中证500,CSI 500,中国医药,"China Meheco Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.152,15.92,1.84,19610983496.0,1231845696.9849246,10658143204.347826
