代码,序号,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
600774,2419,汉商集团,12.27,1.15,0.14,30364.0,37055226.0,3.13,12.36,11.98,12.13,12.13,0.81,1.03,42.45,2.21,3620047573.0,3617712947.0,0.08,-0.16,7.44,-25.91
603903,2420,中持股份,9.66,1.15,0.11,6435.0,6184929.0,1.36,9.68,9.55,9.55,9.55,0.52,0.32,26.86,1.55,2466386177.0,1954254244.0,0.0,0.0,1.58,-13.05
605488,2421,福莱新材,14.93,1.15,0.17,7300.0,10811380.0,2.17,14.96,14.64,14.81,14.76,1.07,1.68,36.71,2.61,2644504990.0,649455000.0,-0.07,0.0,4.41,-17.47
605378,2422,野马电池,23.72,1.15,0.27,9806.0,23158365.0,2.52,23.89,23.3,23.54,23.45,0.41,2.94,43.83,2.81,3162824800.0,790824800.0,-0.25,-0.17,19.92,-16.8
600336,2423,澳柯玛,6.15,1.15,0.07,51968.0,31807483.0,1.32,6.16,6.08,6.15,6.08,0.57,0.66,21.87,2.01,4908718864.0,4864138744.0,0.0,0.0,-9.82,-12.89
603655,2424,朗博科技,18.46,1.15,0.21,3228.0,5940494.0,2.3,18.53,18.11,18.25,18.25,0.51,0.3,278.6,3.72,1956760000.0,1956760000.0,0.0,0.0,13.39,-15.09
605566,2425,福莱蒽特,25.5,1.15,0.29,9497.0,24056871.0,4.09,25.54,24.51,25.25,25.21,0.6,2.85,30.12,1.7,3400170000.0,850170000.0,0.0,0.0,2.53,-14.83
2806,2426,华锋股份,13.19,1.15,0.15,70338.0,91439855.92,4.14,13.25,12.71,12.98,13.04,0.48,5.0,768.86,2.08,2495837481.0,1855782416.0,-0.38,0.15,11.78,-11.77
603081,2427,大丰实业,11.44,1.15,0.13,17622.0,20121014.0,2.21,11.56,11.31,11.42,11.31,0.5,0.44,17.23,1.83,4679943863.0,4596752183.0,0.09,0.18,7.32,-14.82
2322,2428,理工能科,8.82,1.15,0.1,14544.0,12765647.82,1.83,8.84,8.68,8.68,8.72,0.46,0.4,24.04,1.14,3344085095.0,3174491569.0,0.0,0.0,1.5,-25.19
600448,2429,华纺股份,3.53,1.15,0.04,160659.0,56327916.0,2.01,3.54,3.47,3.49,3.49,0.85,2.55,457.62,1.64,2223263407.0,2223263407.0,0.0,0.0,-11.53,4.13
600843,2430,上工申贝,5.3,1.15,0.06,28364.0,14966829.0,1.91,5.32,5.22,5.27,5.24,0.78,0.6,30.92,1.22,3779782344.0,2486880469.0,0.0,0.0,4.74,-22.74
600686,2431,金龙汽车,6.2,1.14,0.07,105645.0,65292045.0,1.63,6.23,6.13,6.16,6.13,0.69,1.57,-10.11,1.34,4445693985.0,4182369470.0,-0.16,0.0,-0.32,-1.27
600125,2432,铁龙物流,5.32,1.14,0.06,226245.0,120090570.0,2.47,5.35,5.22,5.23,5.26,1.16,1.73,13.68,1.05,6945376370.0,6945376370.0,0.19,0.19,-0.56,4.72
605162,2433,新中港,9.76,1.14,0.11,20912.0,20392194.0,2.18,9.88,9.67,9.7,9.65,0.32,2.06,27.83,3.65,3908401760.0,989956312.0,0.1,0.21,8.69,-21.35
600108,2434,亚盛集团,3.55,1.14,0.04,270165.0,95306256.0,1.99,3.56,3.49,3.52,3.51,0.8,1.39,100.55,1.71,6911548680.0,6911548680.0,0.0,0.0,-8.51,0.57
688161,2435,威高骨科,57.71,1.14,0.65,8791.0,50621037.0,4.42,58.85,56.33,57.07,57.06,0.87,1.77,29.0,4.89,23084000000.0,2871514385.0,-0.12,-0.12,24.72,-8.69
2810,2436,山东赫达,32.86,1.14,0.37,50689.0,164954494.65,2.25,32.93,32.2,32.54,32.49,0.9,1.6,24.98,6.33,11256062874.0,10387179740.0,0.0,0.12,-35.34,-46.54
300733,2437,西菱动力,28.44,1.14,0.32,23504.0,66959110.0,4.05,29.04,27.9,28.0,28.12,0.7,1.92,68.84,3.61,4895178660.0,3476558242.0,-0.18,-0.35,19.05,8.22
2870,2438,香山股份,30.24,1.14,0.34,2712.0,8179782.0,2.27,30.38,29.7,29.91,29.9,0.5,0.31,46.48,2.71,3993967233.0,2687759747.0,0.0,0.27,-1.47,-20.34
2807,2439,江阴银行,4.45,1.14,0.05,213210.0,94639182.0,1.82,4.47,4.39,4.41,4.4,0.76,0.98,8.41,0.75,9665624636.0,9654153057.0,0.23,0.23,1.6,21.25
300124,2440,汇川技术,57.88,1.14,0.65,81711.0,472164212.04,2.53,58.5,57.05,57.34,57.23,0.76,0.36,38.67,8.93,152717374147.0,132483161669.0,0.0,-0.03,-10.55,-15.26
852,2441,石化机械,7.13,1.13,0.08,186967.0,132822600.89,4.26,7.21,6.91,7.05,7.05,0.28,2.4,84.99,2.32,6709356303.0,5544323629.0,-0.28,-0.28,6.58,3.48
698,2442,沈阳化工,4.46,1.13,0.05,99337.0,43915882.0,2.95,4.47,4.34,4.42,4.41,0.55,1.26,-10.88,0.93,3655034202.0,3504268710.0,0.0,-0.22,-2.62,-24.02
605228,2443,神通科技,8.94,1.13,0.1,24199.0,21447174.0,3.39,8.97,8.67,8.87,8.84,0.86,2.49,102.98,2.63,3795477000.0,867612562.0,0.0,0.34,15.65,-2.83
2610,2444,爱康科技,3.58,1.13,0.04,656083.0,232847277.24,2.54,3.58,3.49,3.54,3.54,0.47,1.5,-50.26,4.66,16036726432.0,15691985406.0,0.0,0.28,4.07,-23.83
1203,2445,大中矿业,10.74,1.13,0.12,40621.0,43300191.0,1.79,10.74,10.55,10.57,10.62,0.81,0.93,10.76,2.81,16195920000.0,4684061557.0,0.0,0.09,-14.15,-28.78
600865,2446,百大集团,9.85,1.13,0.11,12313.0,12071419.0,2.16,9.86,9.65,9.83,9.74,0.84,0.33,15.44,1.6,3705967113.0,3705967113.0,0.0,0.0,-7.25,8.12
