,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
12,2022-07-29,000922,中证红利,CSI Dividend,601818,光大银行,China Everbright Bank Co Ltd,上海证券交易所,Shanghai  Exchange,0.877
38,2022-07-29,000922,中证红利,CSI Dividend,601003,柳钢股份,Liuzhou Iron & Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.869
95,2022-07-29,000922,中证红利,CSI Dividend,603858,步长制药,"SHANDONG BUCHANG PHARMACEUTICALS CO., LTD.",上海证券交易所,Shanghai  Exchange,0.869
66,2022-07-29,000922,中证红利,CSI Dividend,601939,建设银行,China Construction Bank,上海证券交易所,Shanghai  Exchange,0.866
42,2022-07-29,000922,中证红利,CSI Dividend,600261,阳光照明,Zhejiang Yankon Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.854
22,2022-07-29,000922,中证红利,CSI Dividend,000789,万年青,Jiangxi Wannianqing Cement Co. Ltd,深圳证券交易所,Shenzhen  Exchange,0.846
83,2022-07-29,000922,中证红利,CSI Dividend,000402,金 融 街,Financial Street Holding Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.844
4,2022-07-29,000922,中证红利,CSI Dividend,600377,宁沪高速,Jiangsu Expressway Co Ltd,上海证券交易所,Shanghai  Exchange,0.84
15,2022-07-29,000922,中证红利,CSI Dividend,600548,深高速,Shenzhen Expressway Co Ltd,上海证券交易所,Shanghai  Exchange,0.839
59,2022-07-29,000922,中证红利,CSI Dividend,600606,绿地控股,Greenland Holdings Corporation Limited,上海证券交易所,Shanghai  Exchange,0.837
49,2022-07-29,000922,中证红利,CSI Dividend,601998,中信银行,China Citic Bank Corporation Limited,上海证券交易所,Shanghai  Exchange,0.837
21,2022-07-29,000922,中证红利,CSI Dividend,000656,金科股份,"Jinke Property Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.824
2,2022-07-29,000922,中证红利,CSI Dividend,600900,长江电力,China Yangtze Power Co Ltd,上海证券交易所,Shanghai  Exchange,0.822
9,2022-07-29,000922,中证红利,CSI Dividend,600823,世茂股份,Shanghai Shi Mao Co Ltd,上海证券交易所,Shanghai  Exchange,0.766
27,2022-07-29,000922,中证红利,CSI Dividend,601668,中国建筑,China State Construction Engineering Co Ltd,上海证券交易所,Shanghai  Exchange,0.765
41,2022-07-29,000922,中证红利,CSI Dividend,002233,塔牌集团,Guangdong Tapai Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.763
11,2022-07-29,000922,中证红利,CSI Dividend,000961,中南建设,"Jiangsu Zhongnan Construction Group Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.763
99,2022-07-29,000922,中证红利,CSI Dividend,603156,养元饮品,"Hebei Yangyuan ZhiHui Beverage Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.759
72,2022-07-29,000922,中证红利,CSI Dividend,002516,旷达科技,"Kuangda Technology Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.753
53,2022-07-29,000922,中证红利,CSI Dividend,601166,兴业银行,Industrial Bank,上海证券交易所,Shanghai  Exchange,0.732
80,2022-07-29,000922,中证红利,CSI Dividend,002563,森马服饰,Zhejiang Semir Garment Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.73
47,2022-07-29,000922,中证红利,CSI Dividend,600642,申能股份,Shenergy Co Ltd,上海证券交易所,Shanghai  Exchange,0.723
71,2022-07-29,000922,中证红利,CSI Dividend,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.717
25,2022-07-29,000922,中证红利,CSI Dividend,002146,荣盛发展,Risesun Real Estate Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.702
78,2022-07-29,000922,中证红利,CSI Dividend,002601,龙佰集团,"LB Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.699
31,2022-07-29,000922,中证红利,CSI Dividend,600066,宇通客车,Zhengzhou Yutong Bus Co Ltd,上海证券交易所,Shanghai  Exchange,0.691
13,2022-07-29,000922,中证红利,CSI Dividend,600398,海澜之家,"Heilan Home Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.688
52,2022-07-29,000922,中证红利,CSI Dividend,002110,三钢闽光,"Sansteel Minguang Co.,Ltd.Fujian",深圳证券交易所,Shenzhen  Exchange,0.687
85,2022-07-29,000922,中证红利,CSI Dividend,000002,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.684
81,2022-07-29,000922,中证红利,CSI Dividend,300193,佳士科技,Shenzhen Jasic Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.671
75,2022-07-29,000922,中证红利,CSI Dividend,002419,天虹股份,"Rainbow Digital Commercial Co.,Ltd",深圳证券交易所,Shenzhen  Exchange,0.659
19,2022-07-29,000922,中证红利,CSI Dividend,600704,物产中大,Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.642
16,2022-07-29,000922,中证红利,CSI Dividend,600585,海螺水泥,Anhui Conch Cement Co Ltd,上海证券交易所,Shanghai  Exchange,0.625
93,2022-07-29,000922,中证红利,CSI Dividend,603355,莱克电气,"Kingclean Electric Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.608
62,2022-07-29,000922,中证红利,CSI Dividend,600886,国投电力,"SDIC Power Holdings Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.58
55,2022-07-29,000922,中证红利,CSI Dividend,002372,伟星新材,Zhejiang Weixing New Building Materials Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.571
68,2022-07-29,000922,中证红利,CSI Dividend,000828,东莞控股,Dongguan Development (Holdings) Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.551
10,2022-07-29,000922,中证红利,CSI Dividend,600104,上汽集团,SAIC Motor Co Ltd,上海证券交易所,Shanghai  Exchange,0.526
54,2022-07-29,000922,中证红利,CSI Dividend,601601,中国太保,China Pacific Insurance (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.516
32,2022-07-29,000922,中证红利,CSI Dividend,600808,马钢股份,Maanshan Iron and Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.498
87,2022-07-29,000922,中证红利,CSI Dividend,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.489
61,2022-07-29,000922,中证红利,CSI Dividend,600741,华域汽车,HUAYU Automotive Systems Company Limited,上海证券交易所,Shanghai  Exchange,0.468
77,2022-07-29,000922,中证红利,CSI Dividend,601636,旗滨集团,Zhuzhou Kibing Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.397
60,2022-07-29,000922,中证红利,CSI Dividend,600688,上海石化,Sinopec Shanghai Petrochemical Co Ltd,上海证券交易所,Shanghai  Exchange,0.381
63,2022-07-29,000922,中证红利,CSI Dividend,002206,海利得,Zhejiang Hailide New Material Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.37
