,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
1,2022-07-29,000922,中证红利,CSI Dividend,600188,兖矿能源,Yankuang Energy Group Company Limited,上海证券交易所,Shanghai  Exchange,3.303
74,2022-07-29,000922,中证红利,CSI Dividend,600325,华发股份,Huafa Industrial Co Ltd Zhuhai,上海证券交易所,Shanghai  Exchange,2.116
3,2022-07-29,000922,中证红利,CSI Dividend,600327,大东方,Wuxi Commercial Mansion Grand Orient Co Ltd,上海证券交易所,Shanghai  Exchange,2.009
26,2022-07-29,000922,中证红利,CSI Dividend,601088,中国神华,China Shenhua Energy Co Ltd,上海证券交易所,Shanghai  Exchange,2.005
88,2022-07-29,000922,中证红利,CSI Dividend,000550,江铃汽车,Jiangling Motors Corp Ltd,深圳证券交易所,Shenzhen  Exchange,1.724
5,2022-07-29,000922,中证红利,CSI Dividend,600873,梅花生物,"Meihua Holdings Group Co., Ltd",上海证券交易所,Shanghai  Exchange,1.695
14,2022-07-29,000922,中证红利,CSI Dividend,600389,江山股份,Nantong Jiangshan Agrochemical & Chemical Co Ltd,上海证券交易所,Shanghai  Exchange,1.692
33,2022-07-29,000922,中证红利,CSI Dividend,600348,华阳股份,"Shan Xi Hua Yang Group New Energy Co.,Ltd.",上海证券交易所,Shanghai  Exchange,1.687
40,2022-07-29,000922,中证红利,CSI Dividend,601666,平煤股份,Pingdingshan Tianan Coal Mining Co Ltd,上海证券交易所,Shanghai  Exchange,1.513
91,2022-07-29,000922,中证红利,CSI Dividend,601225,陕西煤业,Shaanxi Coal Industry Company Limited,上海证券交易所,Shanghai  Exchange,1.506
86,2022-07-29,000922,中证红利,CSI Dividend,000036,华联控股,China Union Holdings Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.434
35,2022-07-29,000922,中证红利,CSI Dividend,002003,伟星股份,Zhejiang Weixing Industrial Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.338
0,2022-07-29,000922,中证红利,CSI Dividend,600153,建发股份,Xiamen C&D Inc,上海证券交易所,Shanghai  Exchange,1.322
84,2022-07-29,000922,中证红利,CSI Dividend,600985,淮北矿业,"Huaibei Mining Holdings Co.,Ltd.",上海证券交易所,Shanghai  Exchange,1.314
94,2022-07-29,000922,中证红利,CSI Dividend,002763,汇洁股份,"ShenZhen HuiJie Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,1.291
17,2022-07-29,000922,中证红利,CSI Dividend,600350,山东高速,Shandong Hi-speed Company Limited,上海证券交易所,Shanghai  Exchange,1.277
67,2022-07-29,000922,中证红利,CSI Dividend,601006,大秦铁路,Daqin Railway Co Ltd,上海证券交易所,Shanghai  Exchange,1.276
43,2022-07-29,000922,中证红利,CSI Dividend,600383,金地集团,Gemdale Corporation,上海证券交易所,Shanghai  Exchange,1.26
82,2022-07-29,000922,中证红利,CSI Dividend,000090,天健集团,"SHENZHEN TAGEN GROUP CO., LTD.",深圳证券交易所,Shenzhen  Exchange,1.259
64,2022-07-29,000922,中证红利,CSI Dividend,002238,天威视讯,Shenzhen Topway Video Communication Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.259
44,2022-07-29,000922,中证红利,CSI Dividend,600395,盘江股份,Guizhou Panjiang Refined Coal Co Ltd,上海证券交易所,Shanghai  Exchange,1.255
36,2022-07-29,000922,中证红利,CSI Dividend,600971,恒源煤电,Anhui Hengyuan Coal Industry and Electricity Power Co Ltd,上海证券交易所,Shanghai  Exchange,1.242
73,2022-07-29,000922,中证红利,CSI Dividend,000937,冀中能源,Jizhong Energy Resources Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.24
28,2022-07-29,000922,中证红利,CSI Dividend,600479,千金药业,Zhuzhou Qianjin Pharmaceutical Co Ltd,上海证券交易所,Shanghai  Exchange,1.215
96,2022-07-29,000922,中证红利,CSI Dividend,603878,武进不锈,"JIANG SU WUJIN STAINLESS STEEL PIPE GROUP CO., LTD.",上海证券交易所,Shanghai  Exchange,1.201
69,2022-07-29,000922,中证红利,CSI Dividend,601328,交通银行,Bank of Communications Co LTD,上海证券交易所,Shanghai  Exchange,1.201
50,2022-07-29,000922,中证红利,CSI Dividend,600282,南钢股份,Nanjing Iron & Steel Co Ltd,上海证券交易所,Shanghai  Exchange,1.183
6,2022-07-29,000922,中证红利,CSI Dividend,600028,中国石化,China Petroleum & Chemical Corporation,上海证券交易所,Shanghai  Exchange,1.153
20,2022-07-29,000922,中证红利,CSI Dividend,600729,重庆百货,Chongqing Department Store Co Ltd,上海证券交易所,Shanghai  Exchange,1.137
34,2022-07-29,000922,中证红利,CSI Dividend,600376,首开股份,"Beijing Capital Development Co.,Ltd.",上海证券交易所,Shanghai  Exchange,1.091
29,2022-07-29,000922,中证红利,CSI Dividend,601988,中国银行,Bank of China Ltd,上海证券交易所,Shanghai  Exchange,1.083
70,2022-07-29,000922,中证红利,CSI Dividend,601169,北京银行,Bank of Beijing Co Ltd,上海证券交易所,Shanghai  Exchange,1.079
23,2022-07-29,000922,中证红利,CSI Dividend,600048,保利发展,"Poly Developments and Holdings Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.075
8,2022-07-29,000922,中证红利,CSI Dividend,601098,中南传媒,China South Publishing & Media Group Co Ltd,上海证券交易所,Shanghai  Exchange,1.056
65,2022-07-29,000922,中证红利,CSI Dividend,002088,鲁阳节能,"LUYANG ENERGY-SAVING MATERIALS CO., LTD.",深圳证券交易所,Shenzhen  Exchange,1.036
45,2022-07-29,000922,中证红利,CSI Dividend,600019,宝钢股份,Baoshan Iron &Steel Co Ltd,上海证券交易所,Shanghai  Exchange,1.03
57,2022-07-29,000922,中证红利,CSI Dividend,300107,建新股份,Hebei Jianxin Chemical Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.028
37,2022-07-29,000922,中证红利,CSI Dividend,600027,华电国际,Huadian Power International Corporation Ltd,上海证券交易所,Shanghai  Exchange,1.021
56,2022-07-29,000922,中证红利,CSI Dividend,601000,唐山港,Tangshan Port Group Co Ltd,上海证券交易所,Shanghai  Exchange,1.02
58,2022-07-29,000922,中证红利,CSI Dividend,601009,南京银行,Bank of Nanjing Co Ltd,上海证券交易所,Shanghai  Exchange,1.017
79,2022-07-29,000922,中证红利,CSI Dividend,601216,君正集团,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,1.016
90,2022-07-29,000922,中证红利,CSI Dividend,600023,浙能电力,"Zhejiang Zheneng Electric Power Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.008
89,2022-07-29,000922,中证红利,CSI Dividend,000581,威孚高科,Weifu High-Technology Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.008
97,2022-07-29,000922,中证红利,CSI Dividend,603886,元祖股份,"Ganso Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.005
92,2022-07-29,000922,中证红利,CSI Dividend,002737,葵花药业,"SUNFLOWER PHARMACEUTICAL GROUP Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.992
7,2022-07-29,000922,中证红利,CSI Dividend,002303,美盈森,"MYS GROUP CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.952
46,2022-07-29,000922,中证红利,CSI Dividend,600016,民生银行,China Minsheng Banking Corp Ltd,上海证券交易所,Shanghai  Exchange,0.941
39,2022-07-29,000922,中证红利,CSI Dividend,002367,康力电梯,Canny Elevator Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.927
76,2022-07-29,000922,中证红利,CSI Dividend,601126,四方股份,Beijing Sifang Automation Co Ltd,上海证券交易所,Shanghai  Exchange,0.924
30,2022-07-29,000922,中证红利,CSI Dividend,601288,农业银行,Agricultural Bank of China Co Ltd,上海证券交易所,Shanghai  Exchange,0.918
48,2022-07-29,000922,中证红利,CSI Dividend,600674,川投能源,Sichuan Chuantou Energy Co Ltd,上海证券交易所,Shanghai  Exchange,0.902
18,2022-07-29,000922,中证红利,CSI Dividend,600594,益佰制药,Guizhou Yibai Pharmaceutical Co Ltd,上海证券交易所,Shanghai  Exchange,0.898
24,2022-07-29,000922,中证红利,CSI Dividend,601398,工商银行,Industrial and Commercial Bank of China Ltd,上海证券交易所,Shanghai  Exchange,0.896
51,2022-07-29,000922,中证红利,CSI Dividend,600177,雅戈尔,Youngor Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.893
98,2022-07-29,000922,中证红利,CSI Dividend,002884,凌霄泵业,"Guangdong LingXiao Pump Industry Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.884
