,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
94,2022-07-29,000905,中证500,CSI 500,000932,华菱钢铁,Hunan Valin Steel Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.293
150,2022-07-29,000905,中证500,CSI 500,002326,永太科技,Zhejiang Yongtai Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.293
283,2022-07-29,000905,中证500,CSI 500,300146,汤臣倍健,"BY-HEALTH CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.293
375,2022-07-29,000905,中证500,CSI 500,603939,益丰药房,"Yifeng Pharmacy Chain Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.289
311,2022-07-29,000905,中证500,CSI 500,002603,以岭药业,Shijiazhuang Yiling Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.288
279,2022-07-29,000905,中证500,CSI 500,002507,涪陵榨菜,Chongqing Fuling Zhacai Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.288
176,2022-07-29,000905,中证500,CSI 500,002030,达安基因,Da An Gene Co Ltd of Sun Yat-Sen University,深圳证券交易所,Shenzhen  Exchange,0.287
314,2022-07-29,000905,中证500,CSI 500,601636,旗滨集团,Zhuzhou Kibing Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.287
246,2022-07-29,000905,中证500,CSI 500,002353,杰瑞股份,Yantai Jereh Oilfield Services Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.286
72,2022-07-29,000905,中证500,CSI 500,600521,华海药业,Zhejiang Huahai Pharmaceutical Co Ltd,上海证券交易所,Shanghai  Exchange,0.285
275,2022-07-29,000905,中证500,CSI 500,600143,金发科技,Kingfa Sci&Tech Co Ltd,上海证券交易所,Shanghai  Exchange,0.282
217,2022-07-29,000905,中证500,CSI 500,002506,协鑫集成,"GCL System Integration Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.282
210,2022-07-29,000905,中证500,CSI 500,600177,雅戈尔,Youngor Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.282
95,2022-07-29,000905,中证500,CSI 500,000975,银泰黄金,"Yintai Gold Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.281
386,2022-07-29,000905,中证500,CSI 500,603589,口子窖,"Anhui Kouzi Distillery Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.281
101,2022-07-29,000905,中证500,CSI 500,000738,航发控制,"AECC AERO-ENGINE CONTROL CO.,LTD.",深圳证券交易所,Shenzhen  Exchange,0.279
274,2022-07-29,000905,中证500,CSI 500,000887,中鼎股份,"Anhui Zhongding Sealing Parts Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.277
418,2022-07-29,000905,中证500,CSI 500,603127,昭衍新药,"JOINN LABORATORIES (CHINA) CO.,LTD.",上海证券交易所,Shanghai  Exchange,0.276
489,2022-07-29,000905,中证500,CSI 500,689009,九号公司,Ninebot Limited,上海证券交易所,Shanghai  Exchange,0.276
203,2022-07-29,000905,中证500,CSI 500,600482,中国动力,"China Shipbuilding Industry Group Power Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.275
432,2022-07-29,000905,中证500,CSI 500,601990,南京证券,"Nanjing Securities Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.275
271,2022-07-29,000905,中证500,CSI 500,300088,长信科技,Wuhu Token Science Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.274
90,2022-07-29,000905,中证500,CSI 500,600026,中远海能,"COSCO SHIPPING Energy Transportation Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.274
67,2022-07-29,000905,中证500,CSI 500,600673,东阳光,"GUANGDONG HEC TECHNOLOGY HOLDING CO., LTD",上海证券交易所,Shanghai  Exchange,0.271
129,2022-07-29,000905,中证500,CSI 500,000807,云铝股份,Yunnan Aluminium Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.271
119,2022-07-29,000905,中证500,CSI 500,600705,中航产融,"AVIC Industry-Finance Holdings Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.271
171,2022-07-29,000905,中证500,CSI 500,600079,人福医药,"Humanwell Healthcare (Group) Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.268
354,2022-07-29,000905,中证500,CSI 500,002673,西部证券,"WESTERN SECURITIES CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.265
100,2022-07-29,000905,中证500,CSI 500,000728,国元证券,Guoyuan Securities Company Limited,深圳证券交易所,Shenzhen  Exchange,0.263
220,2022-07-29,000905,中证500,CSI 500,002273,水晶光电,"Zhejiang Crystal-Optech Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.262
9,2022-07-29,000905,中证500,CSI 500,600153,建发股份,Xiamen C&D Inc,上海证券交易所,Shanghai  Exchange,0.26
268,2022-07-29,000905,中证500,CSI 500,000831,五矿稀土,"China Minmetals Rare Earth Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.26
453,2022-07-29,000905,中证500,CSI 500,603267,鸿远电子,"Beijing Yuanliu Hongyuan Electronic Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.258
31,2022-07-29,000905,中证500,CSI 500,300136,信维通信,Shenzhen Sunway Communication Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.258
252,2022-07-29,000905,中证500,CSI 500,002465,海格通信,Guangzhou Haige Communications Group Incorporated Company,深圳证券交易所,Shenzhen  Exchange,0.256
247,2022-07-29,000905,中证500,CSI 500,601699,潞安环能,Shanxi Lu'an Environmental Energy Development Co Ltd,上海证券交易所,Shanghai  Exchange,0.256
393,2022-07-29,000905,中证500,CSI 500,601997,贵阳银行,"Bank of Guiyang Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.255
368,2022-07-29,000905,中证500,CSI 500,601016,节能风电,CECEP Wind-Power Corporation,上海证券交易所,Shanghai  Exchange,0.255
341,2022-07-29,000905,中证500,CSI 500,000039,中集集团,China International Marine Containers (Group) Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.252
253,2022-07-29,000905,中证500,CSI 500,002223,鱼跃医疗,Jiangsu Yuyue Medical Equipment & Supply Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.252
52,2022-07-29,000905,中证500,CSI 500,000830,鲁西化工,"Luxi Chemical Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.252
124,2022-07-29,000905,中证500,CSI 500,600516,方大炭素,"Fangda Carbon New Material Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.251
201,2022-07-29,000905,中证500,CSI 500,002138,顺络电子,Shenzhen Sunlord Electronics Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.247
356,2022-07-29,000905,中证500,CSI 500,002683,广东宏大,"Guangdong Hongda Holdings Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.246
324,2022-07-29,000905,中证500,CSI 500,300308,中际旭创,"ZHONGJI INNOLIGHT CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.245
97,2022-07-29,000905,中证500,CSI 500,000998,隆平高科,Yuan Longping High-tech Agriculture Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.244
10,2022-07-29,000905,中证500,CSI 500,600170,上海建工,Shanghai Construction Co Ltd,上海证券交易所,Shanghai  Exchange,0.244
173,2022-07-29,000905,中证500,CSI 500,000400,许继电气,XJ Electric Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.243
160,2022-07-29,000905,中证500,CSI 500,601717,郑煤机,Zhengzhou Coal Mining Machinery Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.24
414,2022-07-29,000905,中证500,CSI 500,300676,华大基因,"BGI Genomics Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.24
148,2022-07-29,000905,中证500,CSI 500,002156,通富微电,"TongFu Microelectronics Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.239
403,2022-07-29,000905,中证500,CSI 500,603444,吉比特,"G-bits Network Technology(Xiamen)Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.238
213,2022-07-29,000905,中证500,CSI 500,002430,杭氧股份,"HANGZHOU OXYGEN PLANT GROUP CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.237
310,2022-07-29,000905,中证500,CSI 500,300244,迪安诊断,Zhejiang D.A. Diagnostics Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.237
155,2022-07-29,000905,中证500,CSI 500,002092,中泰化学,"Xinjiang Zhongtai Chemical Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.237
37,2022-07-29,000905,中证500,CSI 500,000960,锡业股份,Yunnan Tin Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.234
114,2022-07-29,000905,中证500,CSI 500,600704,物产中大,Zhejiang Material Industrial Zhongda Yuantong Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.233
384,2022-07-29,000905,中证500,CSI 500,603568,伟明环保,"ZHEJIANG WEIMING ENVIRONMENT PROTECTION CO., LTD.",上海证券交易所,Shanghai  Exchange,0.232
437,2022-07-29,000905,中证500,CSI 500,601577,长沙银行,"BANK OF CHANGSHA CO., LTD.",上海证券交易所,Shanghai  Exchange,0.231
192,2022-07-29,000905,中证500,CSI 500,600372,中航电子,"CHINA AVIONICS SYSTEMS CO.,LTD.",上海证券交易所,Shanghai  Exchange,0.231
152,2022-07-29,000905,中证500,CSI 500,300058,蓝色光标,"Bluefocus Data Technology Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.23
234,2022-07-29,000905,中证500,CSI 500,002299,圣农发展,Fujian Sunner Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.23
77,2022-07-29,000905,中证500,CSI 500,600236,桂冠电力,Guangxi Guiguan Electric Power Co Ltd,上海证券交易所,Shanghai  Exchange,0.23
73,2022-07-29,000905,中证500,CSI 500,600739,辽宁成大,Liaoning Cheng Da Co Ltd,上海证券交易所,Shanghai  Exchange,0.23
36,2022-07-29,000905,中证500,CSI 500,600546,山煤国际,"Shanxi Coal International Energy Group Co., Ltd",上海证券交易所,Shanghai  Exchange,0.229
42,2022-07-29,000905,中证500,CSI 500,000547,航天发展,"Addsino Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.228
89,2022-07-29,000905,中证500,CSI 500,600536,中国软件,China National Software & Service Co Ltd,上海证券交易所,Shanghai  Exchange,0.227
21,2022-07-29,000905,中证500,CSI 500,600859,王府井,"Wangfujing Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.227
306,2022-07-29,000905,中证500,CSI 500,002557,洽洽食品,Qiaqia Food Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.226
87,2022-07-29,000905,中证500,CSI 500,600415,小商品城,Zhejiang China Commodities City Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.226
108,2022-07-29,000905,中证500,CSI 500,600879,航天电子,"China Aerospace Times Electronics Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.225
222,2022-07-29,000905,中证500,CSI 500,002409,雅克科技,Jiangsu Yoke Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.225
196,2022-07-29,000905,中证500,CSI 500,600642,申能股份,Shenergy Co Ltd,上海证券交易所,Shanghai  Exchange,0.224
363,2022-07-29,000905,中证500,CSI 500,300357,我武生物,"Zhejiang Wolwo Bio-pharmaceutical Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.223
290,2022-07-29,000905,中证500,CSI 500,000999,华润三九,China Resources Sanjiu Medical & Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.222
218,2022-07-29,000905,中证500,CSI 500,002203,海亮股份,Zhejiang Hailiang Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.221
350,2022-07-29,000905,中证500,CSI 500,000636,风华高科,Guangdong Fenghua Advanced Technology (Holding) Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.22
189,2022-07-29,000905,中证500,CSI 500,600637,东方明珠,"Shanghai Oriental Pearl Media Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.219
177,2022-07-29,000905,中证500,CSI 500,600027,华电国际,Huadian Power International Corporation Ltd,上海证券交易所,Shanghai  Exchange,0.219
145,2022-07-29,000905,中证500,CSI 500,002065,东华软件,"DHC Software Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.216
227,2022-07-29,000905,中证500,CSI 500,300001,特锐德,Qingdao TGOOD Electric Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.215
373,2022-07-29,000905,中证500,CSI 500,002739,万达电影,"WANDA FILM HOLDING CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.215
144,2022-07-29,000905,中证500,CSI 500,002250,联化科技,Lianhe Chemical Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.215
372,2022-07-29,000905,中证500,CSI 500,300418,昆仑万维,"Beijing Kunlun Tech Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.214
138,2022-07-29,000905,中证500,CSI 500,000878,云南铜业,Yunnan Copper Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.213
315,2022-07-29,000905,中证500,CSI 500,300253,卫宁健康,"Winning Health Technology Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.212
245,2022-07-29,000905,中证500,CSI 500,600867,通化东宝,"Tonghua Dongbao Pharmaceutical Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.211
92,2022-07-29,000905,中证500,CSI 500,600580,卧龙电驱,"Wolong Electric Group Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.211
389,2022-07-29,000905,中证500,CSI 500,300474,景嘉微,"Changsha Jingjia Microelectronics Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.209
278,2022-07-29,000905,中证500,CSI 500,002508,老板电器,Hangzhou Robam Appliances Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.209
320,2022-07-29,000905,中证500,CSI 500,000623,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.209
149,2022-07-29,000905,中证500,CSI 500,002294,信立泰,Shenzhen Salubris Pharmaceuticals Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.208
260,2022-07-29,000905,中证500,CSI 500,300024,机器人,Siasun Robot & Automation Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.208
251,2022-07-29,000905,中证500,CSI 500,002444,巨星科技,Hangzhou Great Star Industrial Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.207
436,2022-07-29,000905,中证500,CSI 500,002936,郑州银行,"BANK OF ZHENGZHOU CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.207
103,2022-07-29,000905,中证500,CSI 500,000750,国海证券,"Sealand Securities Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.206
