,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
126,2022-07-29,000905,中证500,CSI 500,600522,中天科技,Jiangsu Zhongtian Technologies Co Ltd,上海证券交易所,Shanghai  Exchange,0.977
446,2022-07-29,000905,中证500,CSI 500,601615,明阳智能,MingYangSmartEnergyGroupLimited,上海证券交易所,Shanghai  Exchange,0.736
80,2022-07-29,000905,中证500,CSI 500,600256,广汇能源,"GUANGHUI ENERGY CO., LTD.",上海证券交易所,Shanghai  Exchange,0.695
7,2022-07-29,000905,中证500,CSI 500,600157,永泰能源,Wintime Energy Co Ltd,上海证券交易所,Shanghai  Exchange,0.605
451,2022-07-29,000905,中证500,CSI 500,300769,德方纳米,"Shenzhen Dynanonic Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.581
0,2022-07-29,000905,中证500,CSI 500,002407,多氟多,Do-Fluoride Chemicals Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.579
336,2022-07-29,000905,中证500,CSI 500,000009,中国宝安,"China Baoan Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.571
154,2022-07-29,000905,中证500,CSI 500,002384,东山精密,Suzhou Dongshan Precision Manufacturing Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.568
224,2022-07-29,000905,中证500,CSI 500,002180,纳思达,Ninestar Corporation,深圳证券交易所,Shenzhen  Exchange,0.552
3,2022-07-29,000905,中证500,CSI 500,300012,华测检测,"CENTRE TESTING INTERNATIONAL GROUP CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.537
254,2022-07-29,000905,中证500,CSI 500,002240,盛新锂能,"Shenzhen Chengxin Lithium Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.534
117,2022-07-29,000905,中证500,CSI 500,600885,宏发股份,"Hongfa Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.533
237,2022-07-29,000905,中证500,CSI 500,300073,当升科技,Beijing Easpring Material Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.528
231,2022-07-29,000905,中证500,CSI 500,002497,雅化集团,Sichuan Yahua Industrial Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.523
107,2022-07-29,000905,中证500,CSI 500,600418,江淮汽车,Anhui Jianghuai Automobile Co Ltd,上海证券交易所,Shanghai  Exchange,0.522
63,2022-07-29,000905,中证500,CSI 500,600096,云天化,Yunnan Yuntianhua Co Ltd,上海证券交易所,Shanghai  Exchange,0.521
435,2022-07-29,000905,中证500,CSI 500,300724,捷佳伟创,Shenzhen S.C New Energy Technology Corporation,深圳证券交易所,Shenzhen  Exchange,0.504
462,2022-07-29,000905,中证500,CSI 500,603613,国联股份,"Beijing United Information Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.499
367,2022-07-29,000905,中证500,CSI 500,300390,天华超净,"SuZhou TA&A Ultra Clean Technology Co., LTD.",深圳证券交易所,Shenzhen  Exchange,0.499
241,2022-07-29,000905,中证500,CSI 500,600732,爱旭股份,"Shanghai Aiko Solar Energy Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.496
349,2022-07-29,000905,中证500,CSI 500,000629,攀钢钒钛,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.495
50,2022-07-29,000905,中证500,CSI 500,600487,亨通光电,"Hengtong Optic-Electric Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.46
309,2022-07-29,000905,中证500,CSI 500,601058,赛轮轮胎,"Sailun Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.453
292,2022-07-29,000905,中证500,CSI 500,600392,盛和资源,"Shenghe Resources Holding Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.453
16,2022-07-29,000905,中证500,CSI 500,600141,兴发集团,Hubei Xingfa Chemicals Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.451
380,2022-07-29,000905,中证500,CSI 500,002756,永兴材料,"Yongxing Special Materials Technology Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.451
58,2022-07-29,000905,中证500,CSI 500,600399,抚顺特钢,Fushun Special Steel Co Ltd,上海证券交易所,Shanghai  Exchange,0.446
70,2022-07-29,000905,中证500,CSI 500,600563,法拉电子,"Xiamen Faratronic Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.439
111,2022-07-29,000905,中证500,CSI 500,600765,中航重机,Avic Heavy Machinery Co Ltd,上海证券交易所,Shanghai  Exchange,0.437
458,2022-07-29,000905,中证500,CSI 500,688122,西部超导,"Western Superconducting Technologies Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.433
302,2022-07-29,000905,中证500,CSI 500,000519,中兵红箭,"NORTH INDUSTRIES GROUP RED ARROW CO.,LTD",深圳证券交易所,Shenzhen  Exchange,0.427
139,2022-07-29,000905,中证500,CSI 500,002028,思源电气,"Siyuan Electric Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.42
82,2022-07-29,000905,中证500,CSI 500,600233,圆通速递,"YTO Express Group Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.413
125,2022-07-29,000905,中证500,CSI 500,600499,科达制造,"Keda Industrial Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.413
300,2022-07-29,000905,中证500,CSI 500,601555,东吴证券,Soochow Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.411
264,2022-07-29,000905,中证500,CSI 500,002268,卫士通,Westone Information Industry Inc,深圳证券交易所,Shenzhen  Exchange,0.404
166,2022-07-29,000905,中证500,CSI 500,600348,华阳股份,"Shan Xi Hua Yang Group New Energy Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.398
357,2022-07-29,000905,中证500,CSI 500,300285,国瓷材料,"Shandong Sinocera Functional Material Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.398
422,2022-07-29,000905,中证500,CSI 500,603605,珀莱雅,"Proya Cosmetics Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.386
334,2022-07-29,000905,中证500,CSI 500,600988,赤峰黄金,"Chifeng Jilong Gold Mining Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.378
153,2022-07-29,000905,中证500,CSI 500,002385,大北农,Beijing Dabeinong Technology Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.374
359,2022-07-29,000905,中证500,CSI 500,603077,和邦生物,"Sichuan Hebang Biotechnology Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.373
289,2022-07-29,000905,中证500,CSI 500,000983,山西焦煤,"Shanxi Coking Coal Energy Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.373
493,2022-07-29,000905,中证500,CSI 500,605117,德业股份,"Ningbo Deye Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.373
490,2022-07-29,000905,中证500,CSI 500,688777,中控技术,"Zhejiang Supcon Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.37
421,2022-07-29,000905,中证500,CSI 500,601108,财通证券,"CAITONG SECURITIES CO.,LTD.",上海证券交易所,Shanghai  Exchange,0.368
370,2022-07-29,000905,中证500,CSI 500,603456,九洲药业,"Zhejiang Jiuzhou Pharmaceutical Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.365
11,2022-07-29,000905,中证500,CSI 500,600160,巨化股份,Zhejiang Ju Hua Co Ltd,上海证券交易所,Shanghai  Exchange,0.363
326,2022-07-29,000905,中证500,CSI 500,002625,光启技术,"Kuang-Chi Technologies Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.361
151,2022-07-29,000905,中证500,CSI 500,300037,新宙邦,Shenzhen Capchem Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.359
127,2022-07-29,000905,中证500,CSI 500,600549,厦门钨业,Xiamen Tungsten Co Ltd,上海证券交易所,Shanghai  Exchange,0.356
232,2022-07-29,000905,中证500,CSI 500,601872,招商轮船,"China Merchants Energy Shipping Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.349
321,2022-07-29,000905,中证500,CSI 500,000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,深圳证券交易所,Shenzhen  Exchange,0.347
96,2022-07-29,000905,中证500,CSI 500,000988,华工科技,Huagong Tech Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.345
469,2022-07-29,000905,中证500,CSI 500,601077,渝农商行,"Chongqing Rural Commercial Bank Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.345
24,2022-07-29,000905,中证500,CSI 500,600298,安琪酵母,Angel Yeast Co Ltd,上海证券交易所,Shanghai  Exchange,0.345
46,2022-07-29,000905,中证500,CSI 500,002422,科伦药业,Sichuan Kelun Pharmaceutical Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.342
419,2022-07-29,000905,中证500,CSI 500,300699,光威复材,"Weihai Guangwei Composites Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.339
406,2022-07-29,000905,中证500,CSI 500,603345,安井食品,"FU JIAN ANJOY FOODS CO., LTD.",上海证券交易所,Shanghai  Exchange,0.335
244,2022-07-29,000905,中证500,CSI 500,600862,中航高科,"Avic Aviation High-Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.333
142,2022-07-29,000905,中证500,CSI 500,601168,西部矿业,Western Mining Co Ltd,上海证券交易所,Shanghai  Exchange,0.333
86,2022-07-29,000905,中证500,CSI 500,600486,扬农化工,Jiangsu Yangnong Chemical Co Ltd,上海证券交易所,Shanghai  Exchange,0.333
478,2022-07-29,000905,中证500,CSI 500,688180,君实生物,"Shanghai Junshi Biosciences Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.33
485,2022-07-29,000905,中证500,CSI 500,688390,固德威,"Jiangsu GoodWe Power Supply Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.329
396,2022-07-29,000905,中证500,CSI 500,601128,常熟银行,"Jiangsu Changshu Rural Commercial Bank Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.329
162,2022-07-29,000905,中证500,CSI 500,000783,长江证券,Changjiang Securities Company Limited,深圳证券交易所,Shenzhen  Exchange,0.327
473,2022-07-29,000905,中证500,CSI 500,601696,中银证券,"BOC International (China) Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.326
438,2022-07-29,000905,中证500,CSI 500,601162,天风证券,"TIANFENG SECURITIES CO., LTD.",上海证券交易所,Shanghai  Exchange,0.325
465,2022-07-29,000905,中证500,CSI 500,688099,晶晨股份,"Amlogic (Shanghai) Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.324
40,2022-07-29,000905,中证500,CSI 500,000970,中科三环,Beijing Zhong Ke San Huan High-Tech Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.322
68,2022-07-29,000905,中证500,CSI 500,600699,均胜电子,Ningbo Joyson Electronic Corp.,上海证券交易所,Shanghai  Exchange,0.321
391,2022-07-29,000905,中证500,CSI 500,002797,第一创业,"First Capital Securities Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.319
365,2022-07-29,000905,中证500,CSI 500,300363,博腾股份,Porton Fine Chemicals Ltd.,深圳证券交易所,Shenzhen  Exchange,0.316
325,2022-07-29,000905,中证500,CSI 500,002624,完美世界,"Perfect World Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.315
130,2022-07-29,000905,中证500,CSI 500,002056,横店东磁,Hengdian Group DMEGC Magnetics Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.312
282,2022-07-29,000905,中证500,CSI 500,300144,宋城演艺,"SONGCHENG PERFORMANCE DEVELOPMENT CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.312
131,2022-07-29,000905,中证500,CSI 500,002185,华天科技,Tianshui Huatian Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.309
385,2022-07-29,000905,中证500,CSI 500,603026,石大胜华,"SHANDONG SHIDA SHENGHUA CHEMICAL GROUP CO.,LTD",上海证券交易所,Shanghai  Exchange,0.304
12,2022-07-29,000905,中证500,CSI 500,600039,四川路桥,Sichuan Road&Bridge Co Ltd,上海证券交易所,Shanghai  Exchange,0.302
156,2022-07-29,000905,中证500,CSI 500,600497,驰宏锌锗,Yunnan Chihong Zinc&Germanium Co Ltd,上海证券交易所,Shanghai  Exchange,0.301
408,2022-07-29,000905,中证500,CSI 500,603517,绝味食品,"Juewei Food Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.3
109,2022-07-29,000905,中证500,CSI 500,600875,东方电气,Dongfang Electric Corporation Limited,上海证券交易所,Shanghai  Exchange,0.299
181,2022-07-29,000905,中证500,CSI 500,601607,上海医药,"Shanghai Pharmaceuticals Holding Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.297
64,2022-07-29,000905,中证500,CSI 500,600109,国金证券,Sinolink Securities Co. Ltd.,上海证券交易所,Shanghai  Exchange,0.295
185,2022-07-29,000905,中证500,CSI 500,002078,太阳纸业,Shan Dong Sun Paper Industry Joint Stock Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.294
